Views,Likes,Comments,Reposts,Poll,Hashtag,Date,Day,Time,Time_cat,Followers
544,10,0,5,,#олимпикс_подборка,2021-04-21 01:21:15,2021-04-21,01:21:15,до 10 утра,1326
640,13,0,1,,#олимпикс_марафон,2021-04-20 13:34:18,2021-04-20,13:34:18,c 10 до 14 часов,1326
471,6,0,0,,#олимпикс_термин,2021-04-18 21:45:51,2021-04-18,21:45:51,c 18 до 22 часов,1326
513,8,0,3,,#олимпикс_марафон,2021-04-16 16:56:00,2021-04-16,16:56:00,c 14 до 18 часов,1326
551,14,0,3,,#олимпикс_подборка,2021-04-16 12:37:41,2021-04-16,12:37:41,c 10 до 14 часов,1326
508,9,0,0,,#олимпикс_марафон,2021-04-15 12:25:58,2021-04-15,12:25:58,c 10 до 14 часов,1326
17311,46,2,49,,#олимпикс_выездная,2021-04-12 23:02:15,2021-04-12,23:02:15,после 22 часов,1326
676,12,0,1,,#олимпикс_марафон,2021-04-11 21:24:28,2021-04-11,21:24:28,c 18 до 22 часов,1326
1129,21,0,12,,#олимпикс_анонс,2021-04-11 00:56:47,2021-04-11,00:56:47,до 10 утра,1326
622,15,0,3,,#олимпикс_подборка,2021-04-10 15:52:54,2021-04-10,15:52:54,c 14 до 18 часов,1326
583,7,0,1,49.0,#олимпикс_опрос,2021-04-04 02:15:54,2021-04-04,02:15:54,до 10 утра,1326
537,7,0,0,,#олимпикс_интервью,2021-04-03 01:49:17,2021-04-03,01:49:17,до 10 утра,1326
777,24,0,3,,#олимпикс_подборка,2021-03-29 18:05:27,2021-03-29,18:05:27,c 18 до 22 часов,1326
563,12,0,2,,#олимпикс_термин,2021-03-26 12:25:18,2021-03-26,12:25:18,c 10 до 14 часов,1326
547,11,0,1,,#олимпикс_рекомендация,2021-03-20 13:53:52,2021-03-20,13:53:52,c 10 до 14 часов,1326
675,18,0,4,,#олимпикс_анонс,2021-03-18 01:30:38,2021-03-18,01:30:38,до 10 утра,1326
580,16,0,9,,#олимпикс_подборка,2021-03-13 19:46:35,2021-03-13,19:46:35,c 18 до 22 часов,1326
644,14,2,3,,,2021-03-11 13:16:23,2021-03-11,13:16:23,c 10 до 14 часов,1326
573,12,0,1,,#олимпикс_рекомендация,2021-03-08 21:44:18,2021-03-08,21:44:18,c 18 до 22 часов,1326
522,14,0,6,,#олимпикс_рекомендация,2021-03-05 18:05:41,2021-03-05,18:05:41,c 18 до 22 часов,1326
18878,24,2,13,,#олимпикс_интенсив,2021-03-01 21:57:30,2021-03-01,21:57:30,c 18 до 22 часов,1326
486,9,0,1,,#олимпикс_термин,2021-03-01 18:23:34,2021-03-01,18:23:34,c 18 до 22 часов,1326
557,15,1,4,,#олимпикс_подборка,2021-03-01 01:02:41,2021-03-01,01:02:41,до 10 утра,1326
492,16,0,1,,#олимпикс_термин,2021-02-28 00:43:01,2021-02-28,00:43:01,до 10 утра,1326
551,14,0,6,49.0,#олимпикс_опрос,2021-02-27 14:31:47,2021-02-27,14:31:47,c 14 до 18 часов,1326
466,11,0,3,,#олимпикс_рекомендация,2021-02-27 01:51:37,2021-02-27,01:51:37,до 10 утра,1326
598,22,0,16,,#олимпикс_подборка,2021-02-26 12:40:09,2021-02-26,12:40:09,c 10 до 14 часов,1326
443,13,0,3,,#олимпикс_термин,2021-02-25 21:03:40,2021-02-25,21:03:40,c 18 до 22 часов,1326
459,8,0,1,47.0,#олимпикс_опрос,2021-02-24 20:51:15,2021-02-24,20:51:15,c 18 до 22 часов,1326
676,20,0,1,,#олимпикс_интенсив,2021-02-15 19:36:23,2021-02-15,19:36:23,c 18 до 22 часов,1326
620,24,0,12,,#олимпикс_рекомендация,2021-01-31 20:04:18,2021-01-31,20:04:18,c 18 до 22 часов,1326
661,7,0,1,,,2021-01-06 21:17:40,2021-01-06,21:17:40,c 18 до 22 часов,1326
